N,g,two_sqrt_g,C_S4,margin,VALOR,CM,Cert_SHA,parent_M7_SHA
11,1,2.00000000,11.42214869,9.42214869,94221,0,4b72e7f19a7a6ca0...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
14,1,2.00000000,11.42214869,9.42214869,94221,0,01c4d729f1b35db9...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
15,1,2.00000000,11.42214869,9.42214869,94221,0,bcd1da6b9fc4e0f5...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
17,1,2.00000000,11.42214869,9.42214869,94221,0,29eb38218a653cf9...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
19,1,2.00000000,11.42214869,9.42214869,94221,0,1af61195a58a8700...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
20,1,2.00000000,11.42214869,9.42214869,94221,0,124432d5ba50f4aa...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
21,1,2.00000000,11.42214869,9.42214869,94221,0,c86e83a9a19fc39a...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
22,2,2.82842712,11.42214869,8.59372157,85937,0,955c35e780c7e1fd...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
23,2,2.82842712,11.42214869,8.59372157,85937,0,1f4c47513d2ea457...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
24,1,2.00000000,11.42214869,9.42214869,94221,0,5250a9aabc75d066...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
26,2,2.82842712,11.42214869,8.59372157,85937,0,94bc26dc070ed8e9...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
27,1,2.00000000,11.42214869,9.42214869,94221,1,8292c9c947b04093...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
28,2,2.82842712,11.42214869,8.59372157,85937,0,843839e909385b01...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
29,2,2.82842712,11.42214869,8.59372157,85937,0,3d0594c4af693487...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
30,3,3.46410162,11.42214869,7.95804707,79580,0,eef467f0d9a436aa...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
31,2,2.82842712,11.42214869,8.59372157,85937,0,5d63a553adb66f52...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
32,1,2.00000000,11.42214869,9.42214869,94221,1,0bd9ec3fa4526c28...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
33,3,3.46410162,11.42214869,7.95804707,79580,0,5ebb4c2b2db0c017...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
34,3,3.46410162,11.42214869,7.95804707,79580,0,ee2df7443db93e95...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
35,3,3.46410162,11.42214869,7.95804707,79580,0,1fbeebbd303b0886...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
36,1,2.00000000,11.42214869,9.42214869,94221,1,074533a9e415e0cc...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
37,2,2.82842712,11.42214869,8.59372157,85937,0,89eec149fe99492b...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
38,4,4.00000000,11.42214869,7.42214869,74221,0,31aa36b2f792e97b...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
39,3,3.46410162,11.42214869,7.95804707,79580,0,7d607b2f71691c22...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
40,3,3.46410162,11.42214869,7.95804707,79580,0,ecc249cea1cd6948...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
41,3,3.46410162,11.42214869,7.95804707,79580,0,2ceb5737b80b08c4...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
42,5,4.47213595,11.42214869,6.95001274,69500,0,132a7abed5679449...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
43,3,3.46410162,11.42214869,7.95804707,79580,0,4d5412fee349e569...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
44,4,4.00000000,11.42214869,7.42214869,74221,0,1d3af239f8224681...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
45,3,3.46410162,11.42214869,7.95804707,79580,0,4e3bae2732a618f1...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
